id,type,text1,text2,text3,text4,notes,Column 08
Ac_Emolly,SHIP,"A superheavy frigate armed with two Terminator drone wings—its firepower rivals destroyers.

The Molly-class drone carrier emerged pre-Collapse as a notorious budget-padding project. Borrowing Tempest-class tech, its symmetrical hull sacrificed medium missile mounts for stability. Conservative design pleased Domain Navy brass, as experimental ships often incurred excessive upkeep.

Note: Its excessive armament strains the flux core.",,,,,
Ac_Dreamer,SHIP,"A high-speed battleship integrating mobile firepower and heavy armor, believed to be comprehensively improved using legacy technology from Mithril and the Onslaught. The Dreamer-class is a decisive force in the Dominant Era grand fleets, nearly omnipotent, capable of regular line-of-battle duels and defensive operations, as well as initiating single-point assaults to break enemy lines.

From any perspective, the Dreamer-class is an over-engineered design, whether in its oversized hull or its massive number of weapon mounts. This show-off design originated from an advanced ship design project in the golden age of the Domain—intended to display the Domain's formidable technical prowess and industrial capacity, deterring numerous anti-Domain independent organizations. Behind the Dreamer-class were the most authoritative Dominant Era engineers from the Orion Shipyards, joined by fresh blood familiar with Core Era doctrines. They ignored the production bottlenecks of the vessel, acting solely to launch a massive ship symbolizing the entire Dominant Era, and declaring to the sector: 'The era of heavy armor, ballistics, and thermal pulse cannons will never end.'

As a versatile capital ship, the Dreamer-class remains extremely difficult to mass-produce, though several refits before the Collapse achieved spare parts interchangeability with other classic Dominant Era designs like the Onslaught-class. Historical records generally agree that this class never reached remote, undeveloped regions like the Persean Sector. Therefore, the sector's current factions closely monitor any sightings of this type of warship, as any rogue group possessing such a refit would be a threat that the fragile colonies in remote star systems could hardly withstand.",,,,,
Ac_Rosebush,SHIP,"A heavily armed freighter famed for versatility and ballistic arrays.

By merchant standards, the Rosebush is overarmed—accelerated autoloaders and three integrated Mining Hornet wings belong on warships. Initially military-grade, civilian refits replaced its drones but retained enough firepower to duel small combatants.

This reliable freighter is favored by cash-strapped or risk-prone captains. Pirates increasingly deploy it in large-scale raids.",,,,,
Ac_Ghoul,SHIP,"A carrier battleship rebuilt from Hegemony blueprints lost during the AI Wars.

Tri-Tachyon’s leaked blueprints inspired pirates to combine Legion-class hulls with Onslaught-class Thermal Pulse Cannons. The Ghoul-class pairs these cannons with composite mounts and three flight decks, overwhelming colony defense fleets.

Under seasoned pirate captains, this resurrected terror haunts underdefended worlds. As pirates say: ""The time to feast on the Domain’s corpse is now!""",,,,,
Ac_Mystia,SHIP,"A battleship focused on long-range suppression. Its limited turrets resemble heavy cruisers, but its Weapon Overdrive system enables devastating salvos.

Poor at close combat, it often serves as a command center or fire support vessel for smaller fleets.",,,,,
Ac_Larks,SHIP,"A fragile armed freighter by Expansion Era standards.

Despite its lavish appearance, the Larks-class cuts costs aggressively to serve as a budget light freighter. Its strong shield is hampered by civilian-grade power grids, leaving only minimal redundancy for mining lasers and PD. Survival relies on heavy PD lasers, flare launchers, and decent mobility.

Affordable and reliable, it handles minor pirate threats like shuttle-borne raiders. Its speed also suits emergency logistics or military auxiliary roles.",,,,,
Ac_forsteri,SHIP,"A Core Era carrier famed for its numerous flight decks.

The Heron’s bulkier cousin, designed by Altair Tech. Unlike the Heron’s focus on mobility, the Forsteri prioritizes fleet-wide carrier support. Its rounded hull (earning the ""Emperor Penguin"" nickname) houses five flight decks and two large ballistic turrets for suppression.

Widely used by the Persean League for its efficient strike craft deployment.",,,,,
Ac_henchman,SHIP,"A light destroyer built for firepower. The Henchman’s integrated Weapon Overload Reload system enhances ballistic range and output.

Colonies facing raids deploy it as rapid-response heavy firepower, leaving pirates and Luddic saboteurs deeply impressed.",,,,,
Ac_ray,SHIP,"A remnant of Tri-Tachyon’s AI fleets. Officially banned by the Domain (and Hegemony) and despised by the Luddic Church, these ships were supposedly purged during the First AI War—or so history claims.

This unmanned battleship emphasizes armor and mobility over offense. The Hegemony’s post-war ""Victory Declaration"" insisted all AI strongholds were destroyed. Yet their resurgence in remote systems exposes this as delusion.",,,,,
Ac_Nipponia,SHIP,"A swift, elegant, and lethally armed cruiser threatening even capital ships.

Named after a docile Earth bird, the Nipponia-class is anything but gentle. Critics initially dismissed its oversized hull, but combat silenced them. A prow-mounted large energy mount and powerful engines let it strike safely from range.

Proudly serving Hegemony/League fleets, this Eagle-class sibling is a force to reckon with.",,,,,
Ac_Nipponia_oc,SHIP,"A swift, elegant, and lethally armed cruiser threatening even capital ships.

Named after a docile Earth bird, the Nipponia-class is anything but gentle. Critics initially dismissed its oversized hull, but combat silenced them. A prow-mounted large energy mount and powerful engines let it strike safely from range.

The Mk2 variant sacrifices missile racks for flight decks to counter small craft. Exclusively serving the Hegemony.",,,,,
Ac_judge,SHIP,"A Domain-era cruiser prioritizing armor over firepower. Compact and heavily armored, it’s common in colonial patrols.

Colonial militias favor its defense over offensive upgrades—sufficient for pirate freighters. This reliable design thrives in the Persean Sector.",,,,,
Ac_holy_see,SHIP,"A fortress ship rivaling stations. Its purpose remains unknown.

The Holy See combines massive hulls, overwhelming firepower, and logistics for small colonies. Automated systems are efficient, but crew and resource demands hinder deep-space operations. Perhaps a technician’s fantasy or a warlord’s last stand.

This monolithic fortress uses an integrated design.",,,,,
Ac_Base_sit,SHIP,"A fortress ship rivaling stations. Its purpose remains unknown.

The Holy See combines massive hulls, overwhelming firepower, and logistics for small colonies. Automated systems are efficient, but crew and resource demands hinder deep-space operations. Perhaps a technician’s fantasy or a warlord’s last stand.

This monolithic fortress uses a modular design.",,,,,
Ac_Harasser,SHIP,"A small cruiser with suspiciously oversized components.

The Harasser’s cramped layout, exposed engines, and flight decks draw scrutiny. Some speculate it’s a detachable module from a larger vessel or a Domain-era ""raider design."" Post-Collapse, such theories are unverifiable.

Lacking missiles for quick kills, it remains a credible threat.",,,,,
Ac_whitebird_C,SHIP,"A Core Era micro-carrier for harassment. The Whitebird-C’s oversized decks strain its fragile flux core, often limiting pilots to standard operations.

Cheap, fast, and flimsy—even mining crews consider using this military-grade carrier.",,,,,
Ac_whitebird_S,SHIP,"A Core Era heavy frigate for harassment. The Whitebird-S’s firepower surpasses the Hammerhead, but its power grid forces downgraded weapons.

Cheap yet sturdy, it excels in fire support roles.",,,,,
Ac_Demolisher,SHIP,"An Expansion Era heavy cruiser renowned for firepower and shields. Its fortress-like shields withstand capital-grade fire, while High-Energy Focus and energy weapons punish enemies daring to enter its range. Though outshone by the Aurora’s advanced design, the rugged Demolisher held its own in Domain fleets.

A testament to blending old doctrines with new tech.",,,,,
Ac_irises,SHIP,"A highly mobile Domain-era battlecruiser. Once admired for speed, shields, and elegance, post-Collapse obsolescence limits it to poor colonies, explorers, or speculators hoping to revive it.

This beautiful war machine sleeps—awaiting a museum or rebirth. Even outdated, it fights valiantly.",,,,,
Ac_irises_oc,SHIP,"A highly mobile Domain-era battlecruiser. Post-Collapse upgrades added four flight decks, letting it project strike craft from its battlecruiser frame.

This revived machine now stalks the battlefield like an archer.",,,,,
Ac_irises_os,SHIP,"A highly mobile Domain-era battlecruiser. Post-Collapse radical refits transformed it into an asymmetric monster. The Mk3 wields Tyrfing-class ""Flashfire"" rapid-fire systems to obliterate peers.

Reborn as a knight, it holds the line.",,,,,
Ac_Redeemer,SHIP,"A sturdy, well-armed light cruiser. Post-Collapse colonies built it using Enterprise-class blueprints, offering early defense. Pragmatic design crams flight decks and diverse mounts into a compact hull.

Now often deployed for long-range support.",,,,,
Ac_nightingale,SHIP,"A fast destroyer shredding small craft with ballistic spam. Useless against capitals, yet overeager captains charge them anyway. At least retreat is quick—explaining why tavern tales persist.",,,,,
Ac_interdiction,SHIP,"A mobile cruiser militarized from the Venture-class. Stripped of survey gear and hyper-optimized for speed. Efficient mounts and integrated flight decks eliminate carrier dependence. It charges like fearless cavalry.

Sleek yet deadly, it anchors battlelines alone.",,,,,
Ac_fulcrum,SHIP,"A fast, defensive Expansion Era armed freighter. Designed to resupply Domain task forces in remote sectors or support invasions.

Post-Collapse, Tri-Tachyon retrofitted it with salvage rigs for practicality.",,,,,
Ac_Punch,SHIP,"A retro-style fast cruiser emphasizing forward firepower at the cost of rear defense. Lacks tactical systems for chasing foes. Combines light and heavy mounts to threaten all targets.

Mainly used by the Luddic Church—if you see one, expect a devout knight.",,,,,
Ac_Sower,SHIP,"A Core Era carrier famed for flight decks. The Sower balances six decks with mobility and power grids, outperforming the Astral in versatility.

Widely used by the Persean League.",,,,,
Ac_Commander,SHIP,"A rare fast battleship blending capital-grade defenses, mobility, and firepower. The Vidofnir-class, designed by ""Mbayé-Gogol"" to compete with the Conquest, emphasizes energy weapons. Domain Navy officials favored the Conquest, relegating the Vidofnir to ceremonial roles or elite guards.

Post-Collapse, its hidden potential shines—fighting Hegemony fleets in the AI Wars and raiding convoys.",,,,,
Ac_sarcasm,SHIP,"A remnant of Tri-Tachyon’s AI fleets. Officially banned by the Domain (and Hegemony) and despised by the Luddic Church, these ships were supposedly purged during the First AI War—or so history claims.

This unmanned battleship emphasizes armor and mobility over offense. The Hegemony’s post-war ""Victory Declaration"" insisted all AI strongholds were destroyed. Yet their resurgence in remote systems exposes this as delusion.

Ironically, Tri-Tachyon now fears this ship’s disruptive potential—hiding fangs or cowering in fear?",,,,,
Ac_vicious,SHIP,"A remnant of Tri-Tachyon’s AI fleets. Officially banned by the Domain (and Hegemony) and despised by the Luddic Church, these ships were supposedly purged during the First AI War—or so history claims.

This unmanned battleship emphasizes armor and mobility over offense. The Hegemony’s post-war ""Victory Declaration"" insisted all AI strongholds were destroyed. Yet their resurgence in remote systems exposes this as delusion.

Ironically, Tri-Tachyon now fears this ship’s disruptive potential—hiding fangs or cowering in fear?",,,,,
Ac_puppy,SHIP,"A short-range ""armed"" freighter beloved by remote haulers. Cheap, fast, efficient—and fragile. Despite downsizing from the Hound-class, its cargo capacity remains decent, though hyperspace fuel costs are disproportionate.

Post-Collapse, such crude designs proliferate—a testament to the Sector’s decline.",,,,,
Ac_tracker,SHIP,"A multirole logistics frigate. ""Prospecting, scanning, salvaging! Spacious holds, crew quarters, fuel tanks! Defense, speed, and mining drones! All in the Tracker! Ditch your relics for the future!""—so claimed its ads. But high upkeep and undersized gear deterred users. Competing with Shepherd-class and Ventures, it faded into obscurity.

Still, its versatility suits short-haul missions. Scholars with technical skills might appreciate its built-in gear.",,,,,
Ac_Echtena,SHIP,"An Expansion Era destroyer with absurd firepower. Flexible energy and missile mounts let it strike like a viper.

Though flux-limited, it annihilates targets efficiently.",,,,,
Ac_Deucalion,SHIP,"A post-Collapse multirole fuel hauler. Praised by some governments as ""innovative,"" but despised by crews and pirates alike. Crews hate hauling antimatter in its fragile hull, cramped corridors, and useless guns. Admirals scoff at its mediocre capacity. Pirates avoid this volatile ""firework.""

Deucalion crews inherit the Atlas-class’s misfortune—magnified.",,,,,
Ac_firelight,SHIP,"A remnant of Tri-Tachyon’s AI fleets. Officially banned by the Domain (and Hegemony) and despised by the Luddic Church, these ships were supposedly purged during the First AI War—or so history claims.

This unmanned battleship emphasizes armor and mobility over offense. The Hegemony’s post-war ""Victory Declaration"" insisted all AI strongholds were destroyed. Yet their resurgence in remote systems exposes this as delusion.

An eerie flame-like glow emanates from its hull...",,,,,
Ac_afterglow,SHIP,"A remnant of Tri-Tachyon’s AI fleets. Officially banned by the Domain (and Hegemony) and despised by the Luddic Church, these ships were supposedly purged during the First AI War—or so history claims.

This unmanned battleship emphasizes armor and mobility over offense. The Hegemony’s post-war ""Victory Declaration"" insisted all AI strongholds were destroyed. Yet their resurgence in remote systems exposes this as delusion.

""The Persean Sector’s twilight—or dawn? While these drones roam, no sunrise shall come.""—Hegemony propaganda from the First AI War.",,,,,
Ac_smolder,SHIP,"A remnant of Tri-Tachyon’s AI fleets. Officially banned by the Domain (and Hegemony) and despised by the Luddic Church, these ships were supposedly purged during the First AI War—or so history claims.

This unmanned battleship emphasizes armor and mobility over offense. The Hegemony’s post-war ""Victory Declaration"" insisted all AI strongholds were destroyed. Yet their resurgence in remote systems exposes this as delusion.

""Tri-Tachyon’s automatons harass our allies. Our forces cannot attack and defend simultaneously.""—First AI War field report.",,,,,
Ac_thunderlight,SHIP,"A legacy of the AI fleets developed by Tri-Tachyon Corporation. Strictly banned by the Domain (and subsequently the Hegemony), and deeply despised by the Church of Galactic Redemption at the time, the First AI War witnessed the complete purging of autonomous warships from the sector. At least, that is how official history records it.

An autonomous battlecruiser equipped with unbelievable teleportation capabilities, leaning more towards crushing lighter vessels compared to the Radiant. Ironically, after the First AI War, the Hegemony's 'Victory Declaration' explicitly claimed that all autonomous fleet strategic bases had been completely destroyed. Yet, as more and more autonomous warships traverse remote systems with impunity, people have realized that it was merely self-deception.

Ironically, Tri-Tachyon, who created it, is unwilling to let this ship tear apart the existing peace. Is this an attempt to hide their fangs, or is it merely out of fear?",,,,,
Ac_Alcedo,SHIP,"A fast destroyer specializing in harassing capitals. Standard guns lack punch, but flexible mounts allow heavy torpedoes or EMP ion weapons.

A standard flight deck aids scouting and disruption.",,,,,
Ac_Robber,SHIP,"A raider playing vanguard in small fleets. Fragile but threatening with missiles and speed. Similar to retrofitted Kites—hit hard, then flee. Underrated during the Domain’s dominance, its modern resurgence aids pirates and Tri-Tachyon guerrillas.

The Hegemony now acknowledges fast ships’ importance, resurrecting this design.",,,,,
Ac_Aphrodite,SHIP,"An old-gen superheavy cruiser-carrier hybrid. Unlike the civilian Mora, the Aphrodite emphasizes direct firepower alongside flight decks. Low build costs masked by high upkeep—manageable under Domain logistics, but post-Collapse, few factions bother.",,,,,
Ac_Bulldog,SHIP,"A militarized freighter beloved by haulers, pirates, and bounty hunters. Originally a planetary bomber, its excessive armament lets it brawl with warships—shieldless.

Common in pirate raids—and patrols hunting those same pirates.",,,,,
Ac_Adultdog,SHIP,"A short-range ""armed"" freighter beloved by remote haulers. Cheap, fast, efficient—and fragile. Double the Puppy-class’s size but equally weak defenses.

Post-Collapse, such crude designs proliferate—a testament to the Sector’s decline.",,,,,
Ac_Adriatic,SHIP,"A commemorative cruiser-sized yacht with archaic luxury. Based on an Old Earth film, its name and design reference a fictional ""flying boat."" Rare and sought-after by blueprint hunters.",,,,,
Ac_Minerva,SHIP,"A large, lightly armored warship embodying the Domain Navy’s pursuit of firepower and mobility. Its long-range guns and speed let commanders deploy it strategically.

Dubbed ""vulnerable"" compared to ""invincible"" designs, it was relegated to secondary roles.",,,,,
Ac_murderers,SHIP,"A ship radiating extremism. The Domain Navy deemed it irresponsible—optimized to annihilate cruisers but helpless against capitals. Reviving the ""pocket battleship"" concept, it was reclassified as a battlecruiser during the Second AI War.

Tri-Tachyon used it to ravage Hegemony convoys and patrols. Losses? Just cheap mercenary lives.",,,,,
Ac_Messiah,SHIP,"An Expansion Era destroyer designed by Domain Naval R&D (with Tri-Tachyon influence). Based on the Hyperion, its stabilized ""Phantom Jump"" system reduces maintenance and enables larger ship teleportation.

Tri-Tachyon stole blueprints pre-Second AI War, deploying it to cripple Hegemony logistics.",,,,,
Ac_Ziz,SHIP,"A Core Era redesign of the Mystia-class. Domain traditionalists demanded a slow, imposing battleship for show. Retaining long-range guns and ditching missiles, it gained large energy mounts and reduced fighter dependency.

During the First AI War, Ziz-class lines defended colonies effectively before Tri-Tachyon reinforcements arrived.",,,,,
Ac_pulse,SHIP,"A remnant of Tri-Tachyon’s AI fleets. Officially banned by the Domain (and Hegemony) and despised by the Luddic Church, these ships were supposedly purged during the First AI War—or so history claims.

This unmanned battleship emphasizes armor and mobility over offense. The Hegemony’s post-war ""Victory Declaration"" insisted all AI strongholds were destroyed. Yet their resurgence in remote systems exposes this as delusion.

An eerie flame-like glow emanates from its hull...",,,,,
Ac_Mudrock,SHIP,"A post-Collapse super-freighter retrofit. Reinforced Atlas hulls with external bracing become ad-hoc artillery platforms.

Designed for bulk cargo delivery to remote outposts, its size and slowness attract pirates and fanatics. Hegemony uses it for seasonal agriculture hauls, guarded by cruiser fleets.

Commanding one is punishment for competence—tedium punctuated by terror.",,,,,
Ac_Tyrfing,SHIP,"A Domain Navy flagship designed as a fleet centerpiece and tech testbed. Initially an all-big-gun dreadnought, later modified. Equipped with ""Flashfire"" ballistic accelerators for devastating salvos—or ""drawing the cursed blade.""

Post-Collapse, it passed through mad owners seeking glory, each meeting ruin.",,,,,
Ac_liquid_iron,SHIP,"A durable light destroyer with archaic ablative foam armor. Weak weapons, but engineers later added auxiliary systems to boost output.

The Hegemony traded its blueprints to the Luddic Church during the Second AI War for covert support.",,,,,
Ac_pS,SHIP,"A legacy of the AI fleets developed by Tri-Tachyon Corporation. Strictly banned by the Domain (and subsequently the Hegemony), and deeply despised by the Church of Galactic Redemption at the time, the First AI War witnessed the complete purging of autonomous warships from the sector. At least, that is how official history records it.

An autonomous battleship boasting heavy armor and array mounts, leaning more towards a defensive role compared to the Radiant. Ironically, after the First AI War, the Hegemony's 'Victory Declaration' explicitly claimed that all autonomous fleet bases had been completely destroyed. Yet, as more autonomous warships roam remote systems, people have come to realize it was nothing but empty propaganda.

Ironically, Tri-Tachyon, who created it, is unwilling to let this ship tear apart the existing peace. Is this an attempt to hide their fangs, or is it merely out of fear?",,,,,
Ac_astralS,SHIP,"A legacy of the AI fleets developed by Tri-Tachyon Corporation. Strictly banned by the Domain (and subsequently the Hegemony), and deeply despised by the Church of Galactic Redemption at the time, the First AI War witnessed the complete purging of autonomous warships from the sector. At least, that is how official history records it.

An autonomous carrier with a terrifying number of flight decks and a prototype recall device, leaning more towards defense compared to the Radiant. Ironically, after the First AI War, the Hegemony's 'Victory Declaration' claimed that all autonomous fleet bases had been completely wiped out. Yet, as more automated warships roam the fringes, people have realized that it was merely self-deceptive propaganda.

Ironically, Tri-Tachyon, who created it, is unwilling to let this ship tear apart the existing peace. Is this an attempt to hide their fangs, or is it merely out of fear?",,,,,
Ac_conquestG1,SHIP,"A variant of the Conquest-class, featuring weapon configurations, hullmods, and tactical systems modified to focus on missile strikes, along with slightly increased speed. Otherwise, not much has changed.",,,,,
Ac_stone,SHIP,"A small carrier following the concept of the Mora-class. It has only one flight deck, but offers decent defenses, making it more suited for assault operations than typical carriers.

The Flingstone-class is a post-Collapse ship, designed by an engineer on Nova Maxios. During a resource supply cutoff caused by pirate raids, he designed a small carrier to provide aviation support for the orbital station. He personally led a small fleet built around these carriers to harass pirate fleets near the jump point, buying enough time for a merchant convoy preparing to break through. Because the Flingstone-class possesses reliability and resilience remarkable even among frigates, it quickly became popular among independent operators and was adopted to some extent by Hegemony patrol fleets.

The Flingstone-class is neither fast nor equipped with a powerful power grid, but its hull durability is noticeably higher than other frigates, and it features a damper field. This micro-carrier can deploy standard fighters to support smaller ships, or carry support fighters like the Hoplon-class as 'external weapon mounts' for close-quarters combat.",,,,,
Ac_promethus_cv,SHIP,"A fleet carrier converted from the Prometheus-class. The modification simply consists of roughly integrating a nanoforge inside the fuel tanks and configuring some standard decks, resulting in low maintenance efficiency. It is mostly used by non-faction groups as an aviation vessel for small fleets.

While the notorious Luddic Path variant of the Prometheus-class is well known, this carrier conversion takes a completely different path. The designer of this refit was an engineer from Asharu who initially designed logistics equipment for the Hegemony auxiliary force, and now designs civilian refitted ships for a deep-space exploration conglomerate. The Prometheus (CV) was his answer to the pirates' Colossus MK3. Later, a pirate raid from Qaras benefited this refitted ship, and the conglomerate began promoting it as a commercial product.",,,,,
Ac_LuddicMonster,SHIP,"We cannot say for sure whether this ghastly heap, as nauseating as the Ghoul-class, counts as a 'Prometheus MK3', but we can tell at a glance that it is yet another holy war weapon or spiritual totem of Luddic Path zealots. The parts for this ship come from extremely diverse sources, and none of the subsystems run in harmony, but this does not prevent it from becoming the strongest war machine possessed by the Path.",,,,,
Ac_lowtechAurora,SHIP,"The Iron Dome-class is a response to the Aurora-class cruiser, designed by the Orion Shipyards during the era when Expansion Era ships dominated. This heavy ship features high-power engines capable of keeping up with Expansion Era vessels, armaments stronger than its predecessor, the Eradicator-class, and is fitted with a heavy flux capacitor completely atypical of Dominant Era ships—all supporting it in rushing to the front lines for close-quarters combat.

The Iron Dome-class entered the Domain stage during an era when Tri-Tachyon and Domain naval contractors were working closely. At that time, fast warships carrying heavy energy weapons were every captain's favorite, whereas Dominant Era ships either couldn't keep up with these fast vessels (like the Dominator-class) or sacrificed too much for speed (like the Eradicator-class). During its development, several key designers left due to pessimism regarding the prospects of Domain ships. After the Collapse, many captains similarly neglected this high-speed cruiser, believing that even with optimization, it couldn't match the Aurora-class. Ultimately, the Iron Dome-class found its way to the captains of the Luddic Church, and these devout, straightforward paladins—with their unique insights into safety override systems—became the turning point of its fate.

Although its equivalent power grid cannot match other heavy cruisers, the Iron Dome-class can still use a small missile array inherited from the Retribution-class, paired with three ballistic mounts of different sizes and a strong drive system to deliver fierce blows. In the words of the Luddites, the Iron Dome is 'born without fear, carrying its scars.' When Moloch and Mammon laugh at outdated Dominant Era technology, the heavy blade of the Iron Dome will descend from the heavens, severing these demons with courage that transcends life and death.",,,,,
Ac_thunder,SHIP,"A legacy of the AI fleets developed by Tri-Tachyon Corporation. Strictly banned by the Domain (and subsequently the Hegemony), and deeply despised by the Church of Galactic Redemption at the time, the First AI War witnessed the complete purging of autonomous warships from the sector. At least, that is how official history records it.

We must admit that the optimization speed of the Remnant's fleet doctrine is much faster than expected, as the first appearance of the Thunderbolt-class was only 15 days after the first appearance of the Radiant-class. This hull, the size of a battlecruiser, is somehow configured with subsystems of a standard cruiser—suspected to be the result of the Nexus trying to bypass Domain standard safety protocols. Its behavioral patterns are very similar to its counterpart, the Nova-class, both possessing strong hostility toward light ships, making it a huge reinforcement for assault-oriented Remnant fleets.

Its super-heavy hull makes the Thunderbolt-class the most expensive cruiser to deploy in the sector. Compared to the Nova-class, its protection is slightly inferior, but its maneuverability is even greater. The Thunderbolt-class is equipped with an intimidating heavy missile array and uses an enhanced loader. Guided by AI algorithms that have no concept of death, this heavy warship will become one of the most threatening drone ships in the sector.",,,,,
Ac_colossus4,SHIP,"We still do not know how the Luddic Path found an Apostle of Sin heavy cannon, but it is now mounted on this Colossus-class. Although the freighter hull means its survivability is still worrying, its firepower can indeed threaten many capital ships.",,,,,
Ac_hyperionS,SHIP,"A legacy of the AI fleets developed by Tri-Tachyon Corporation. Strictly banned by the Domain (and subsequently the Hegemony), and deeply despised by the Church of Galactic Redemption at the time, the First AI War witnessed the complete purging of autonomous warships from the sector. At least, that is how official history records it.

An autonomous gunboat boasting heavy frontal firepower, leaning more towards a defensive role compared to the Radiant. Ironically, after the First AI War, the Hegemony's 'Victory Declaration' explicitly claimed that all autonomous fleet strategic bases had been completely destroyed. Yet, as more and more autonomous warships traverse remote systems with impunity, people have realized that it was merely self-deception.

Ironically, Tri-Tachyon, who created it, is unwilling to let this ship tear apart the existing peace. Is this an attempt to hide their fangs, or is it merely out of fear?",,,,,
Ac_Harasser_p,SHIP,"A few Harasser-class ships were unfortunate enough to be disabled under the onslaught of a pack of wolves, only to find appreciation under a crude new owner. A massive missile mount stripped from some unknown vessel now occupies the entire hangar space, and two large ballistic mounts have been violently modified to be compatible with missile weapons. The end result—rather than 'harassing', this pirate ship is built to 'crush'.",,,,,
Ac_BigBrawerTT,SHIP,"'Utilitarian thinking will change everything,' and the Flame Sparrow-class is the symbol of this phrase. This is a super destroyer with pathologically terrifying firepower, considered in some sense a 'Super Brawler TT', and its versatility is wider than you might think.

The Flame Sparrow-class is a ship developed by Tri-Tachyon after the First AI War, built specifically for Tri-Tachyon skirmish fleets, with only a few mercenaries and agents able to acquire this unprecedentedly powerful destroyer. Unlike the Hyperion-class, which was criticized as a 'pocket princess', the Flame Sparrow-class is more logistically friendly and possesses higher burst potential. Its deterrence in small fleets is almost equivalent to a battlecruiser—provided that its conventional shield capacity is not overloaded with flux.

Interestingly, the design team of the Flame Sparrow-class were fanatical supporters of the Brawler TT-class. This team frequently argued with other directors' design teams over the practicality of ships like the Tempest and Omen, and the Flame Sparrow-class was likely a 'spite' product born from one of those arguments...",,,,,
